,game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
17582,21300972,0,1610612764,WAS,Washington,32,12,10,15,22,10,0.0,11.0,7.0,9.0,1610612753,ORL,Orlando,46,16,17,9,0.0,14.0,11.0,19.0
17583,21300976,0,1610612748,MIA,Miami,60,11,11,14,2,1,2.0,20.0,8.0,22.0,1610612743,DEN,Denver,48,10,15,16,2.0,17.0,7.0,20.0
17584,21300977,0,1610612740,NOP,New Orleans,46,5,14,6,18,14,0.0,10.0,3.0,4.0,1610612757,POR,Portland,42,8,10,9,0.0,16.0,10.0,23.0
17585,21300978,0,1610612747,LAL,Los Angeles,44,8,20,3,4,1,1.0,10.0,13.0,17.0,1610612759,SAS,San Antonio,58,18,17,35,1.0,16.0,5.0,13.0
17586,21300979,0,1610612762,UTA,Utah,44,9,10,13,3,3,4.0,20.0,10.0,31.0,1610612746,LAC,Los Angeles,32,13,31,11,0.0,11.0,10.0,12.0
17587,21300975,0,1610612756,PHX,Phoenix,52,15,24,11,8,8,1.0,17.0,4.0,11.0,1610612738,BOS,Boston,40,14,16,5,1.0,15.0,8.0,12.0
17588,21300980,0,1610612739,CLE,Cleveland,30,6,18,16,7,4,1.0,12.0,6.0,13.0,1610612744,GSW,Golden State,38,9,15,18,0.0,17.0,6.0,24.0
17589,21300973,0,1610612754,IND,Indiana,32,7,5,17,0,0,1.0,22.0,9.0,20.0,1610612755,PHI,Philadelphia,40,6,18,0,0.0,10.0,7.0,6.0
17590,21300985,0,1610612755,PHI,Philadelphia,46,16,20,3,9,3,0.0,22.0,10.0,26.0,1610612763,MEM,Memphis,50,10,14,29,0.0,22.0,10.0,22.0
17591,21300986,0,1610612758,SAC,Sacramento,34,20,12,4,7,16,2.0,18.0,16.0,13.0,1610612741,CHI,Chicago,32,10,20,8,0.0,11.0,11.0,9.0
17592,21300981,0,1610612752,NYK,New York,38,13,10,25,4,3,0.0,11.0,7.0,10.0,1610612749,MIL,Milwaukee,54,25,5,3,0.0,10.0,12.0,18.0
17593,21300995,0,1610612746,LAC,Los Angeles,42,11,25,22,0,0,2.0,7.0,15.0,5.0,1610612739,CLE,Cleveland,30,12,5,0,0.0,17.0,13.0,28.0
17594,21300991,0,1610612750,MIN,Minnesota,40,8,18,10,16,11,0.0,9.0,9.0,13.0,1610612758,SAC,Sacramento,44,14,17,3,1.0,17.0,9.0,18.0
17595,21300993,0,1610612759,SAS,San Antonio,56,7,8,20,2,4,0.0,12.0,2.0,19.0,1610612762,UTA,Utah,52,23,6,2,0.0,8.0,8.0,8.0
17596,21300994,0,1610612744,GSW,Golden State,36,9,13,4,13,9,0.0,12.0,9.0,15.0,1610612757,POR,Portland,34,14,12,18,0.0,12.0,7.0,11.0
17597,21300989,0,1610612748,MIA,Miami,40,9,14,11,6,10,1.0,14.0,14.0,14.0,1610612745,HOU,Houston,54,14,20,5,1.0,16.0,9.0,18.0
17598,21300990,0,1610612740,NOP,New Orleans,70,16,15,13,15,10,0.0,12.0,7.0,17.0,1610612738,BOS,Boston,46,19,23,9,0.0,16.0,8.0,28.0
17599,21300992,0,1610612760,OKC,Oklahoma City,22,16,9,5,7,8,1.0,15.0,14.0,15.0,1610612742,DAL,Dallas,40,12,9,26,0.0,18.0,8.0,18.0
17600,21300987,0,1610612766,CHA,Charlotte,34,9,14,11,12,8,1.0,18.0,5.0,20.0,1610612749,MIL,Milwaukee,40,13,11,9,2.0,11.0,9.0,15.0
17601,21300988,0,1610612756,PHX,Phoenix,38,21,14,15,3,5,0.0,21.0,8.0,28.0,1610612761,TOR,Toronto,60,3,16,9,0.0,11.0,8.0,15.0
17602,21301000,0,1610612745,HOU,Houston,58,6,30,41,1,1,0.0,19.0,8.0,17.0,1610612762,UTA,Utah,34,7,9,2,0.0,19.0,5.0,26.0
17603,21301002,0,1610612743,DEN,Denver,54,23,15,10,17,19,1.0,17.0,12.0,22.0,1610612746,LAC,Los Angeles,44,19,16,7,1.0,16.0,8.0,21.0
